GL,Description
1351000,LT LOANS-BMW INDIA FIN SERV.PVT LTD
1510000,OTHER PAYABLE : CAPITAL GOODS
1512000,TRADE PAYABLE FOR MILK PROCUREMENT
1512500,TRADE P'BLE-CATTLE LOANS PAYABLE (THIRD PARTY)
1512510,INSURANCE  PAYABLE
1512520,TRADE PAYABLES- MILK PROCUREMENT- BONUS
1512530,TRADE PAYABLES- MILK PROCUREMENT- SCHEMES
1512540,TRADE PAYABLES- HPR PROCESS
1512550,TRADE PAYABLES-MP-RETENTION
1512600,TRADE P'BLE :HERITAGE FARMERS WELFARE TRUST
1513000,TRADE PAYABLES: PURCHASES
1513020,TRADE PAYABLES: RELATED PARTY PAYABLES
1514000,TRADE PAYABLES FOR MERCHANDISE
1515000,OTHER PAYABLES- OTHERS
1515500,OTHER PAYABLES -OUTSTANDING EXPENSES
1518000,OTHER PAYABLES -INTERNAL VENDOR TRANSACTIONS
1519000,TRADE PAYABLE : TINY / MICRO ENTERPRISES
1519010,TRADE PAYABLES : S S I UNDERTAKINGS
1519980,TRADE PAYABLES : BOE
