House Bank,Account No,Bank Name
B0001,25210500000032,BANK OF BARODA-CFS-HYD-CA
B0029,254605000006771,BANK OF BARODA - DINDIGAUL
F0002,10328630000015,HDFC BANK - ANAKAPALLI-COLL
F0009,3682320000310,HDFC BANK - NACHARAM-CA
F0010,2152320001285,HDFC BANK - RAJAHMUNDRY-COLL
F0011,6422150000080,HDFC BANK - S.R.NAGAR BRANCH-COLL
F0014,1092320002067,HDFC BANK - VIJAYAWADA-CA
F0016,210310002387,HDFC BANK - LAKDIKAPOOL-(POOL)-CA
F0022,215150000146,HDFC BANK - CA - LAKDIKAPOOL (215150000146)
F0025,210310002394,HDFC-BEGUMPET-HYD-CA
F0026,7502320000427,HDFC - POONAMALAI-CA
F0027,21048640000023,"HDFC BANK, PHALTAN - CA"
F0028,21048640000033,"HDFC BANK, PHALTAN - COLL"
F0033,10970310000234,HDFC BANK : R.K. SALAI
F0038,HDFC555386521,HDFC BANK LTD
F0040,57500001846070,HDFC BANK :Current Account (Operation Account)
KO001,2611835392,KOTAK MAHINDRA BANK
KO002,2613670601,"KOTAK MAHINDRA BANK LTD- SOMAJIGUDA, HYD"
N0001,805009229,ICICI BANK - BASHEERBAGH - HYD-CA
N0003,851000206,ICICI BANK-BEGUMPET
N0005,33205003754,ICICI BANK LTD- WEST PATLE NGR-DELHI-COL
N0007,805015754,ICICI BANK : KHIRATABAD BRANCH
N0008,39305008591,ICICI BANK :Backbay Reclamation
N0009,001305010746,ICICI BANK: Chandigarh
N0010,705044339,ICICI BANK :New Delhi Connaught Place
N0011,000805016642,ICICI BANK:Khairatabad
N0012,001205034513,ICICI BANK: Jaipur Branch
N0014,236805000661,ICICI Bank Vijayawada
N0015,805023746,ICICI BANK LTD-BEGUMPET BRANCH
N0016,80205015851,ICICI BANK LTD - KRISHNAGIRI
N0017,253705002573,"ICICI BANK LTD - Air Bypass Road Branch, Tirupathi"
N0027,7605010600,HERITAGE FOODS LIMITED CSR ACCOUNT FY 2025-26
N0028,6005016444,HFL Current Account  (Operation Account)
Q0001,5522100000272,KOTAK-SOMAJIGUDA-CA
