Country,Withhoding Tax Type,Withhoding Tax Code,Name,Scection
IN,IA,I1,Inv - Contract - Co/Firms @ 2%,194C
IN,IA,I2,Inv - Contract W/O PAN - Co/Firms @ 20%,194C
IN,IA,I3,Inv - Contract - Co/Firms @ 1.5%,194C
IN,IA,I4,Inv - Contract - 206AB without ITR@ 5%,194C
IN,IA,I7,Inv - Contract - HUF/Indiv @ 0.75%,194C
IN,IA,I8,Inv - Contract W/O PAN - HUF/Indiv @ 20%,194C
IN,IA,I9,Inv - Contract - HUF/Indiv @ 1%,194C
IN,IB,I1,Inv - Transports - Co/Firms @ 0%,194C
IN,IB,I2,Inv - Transports W/O PAN - Co/Firm @ 20%,194C
IN,IB,I3,Inv -Transports Sect:206AB w/oITR@ 5%,194C
IN,IB,I8,Inv - Transports W/O PAN - HUF/Ind @ 20%,194C
IN,IB,I9,Inv - Transports - HUF/Ind @ 0%,194C
IN,IC,I1,Inv - Advert. / Subcon - Co/Firms @ 2%,194C
IN,IC,I2,Inv - Adv/Subcon W/O PAN - Co/Firms @20%,194C
IN,IC,I3,Inv - Adv/Subcon Section 206AB @5%,194C
IN,IC,I8,Inv - Adv/Subcon W/O PAN - HUF/Indiv@20%,194C
IN,IC,I9,Inv - Advert. / Subcon - HUF/Indiv @ 1%,194C
IN,ID,I1,Inv - Ins. Commission - Co/Firm @10%,194D
IN,ID,I2,Inv - Ins. Comm W/O PAN - Co/Firm @ 20%,194C
IN,ID,I8,Inv - Ins. Comm W/O PAN - HUF/Ind @ 20%,194D
IN,ID,I9,Inv - Ins. Commission - HUF/Ind @ 10%,194C
IN,IE,I1,Inv - Commission/Brok. - Co/Firm @ 5%,194H
IN,IE,I2,Inv - Comm/Brok. W/O PAN - Co/Firm @ 20%,194H
IN,IE,I3,Inv - Commission/Brok. - Co/Firm @ 3.75%,194H
IN,IE,I4,Inv - Commission/Brok.Sec: 206AB@ 10%,194H
IN,IE,I5,Inv-Commission/Brok.Sec:206AB@10%:Non CO,194H
IN,IE,I7,Inv - Ins. Commission - HUF/Ind @ 3.75%,194H
IN,IE,I8,Inv - Comm/Brok W/O PAN -HUF/Indiv @ 20%,194H
IN,IE,I9,Inv - Ins. Commission - HUF/Ind @ 5%,194H
IN,IF,I1,Inv - Rent - Co/Firms @ 10%,194I
IN,IF,I2,Inv - Rent W/O PAN - Co/Firms @ 20%,194I
IN,IF,I3,Inv - Rent - Co/Firms @ 7.50%,194I
IN,IF,I4,Inv - Rent -Co/Firms Sec:206AB@ 20%,194I
IN,IF,I7,Inv - Rent - HUF/Indiv @ 7.50%,194I
IN,IF,I8,Inv - Rent W/O PAN - HUF/Indiv @ 20%,194I
IN,IF,I9,Inv - Rent - HUF/Indiv @ 10%,194I
IN,IG,I!,Inv - 194Q Rent P&M - HUF/Indiv @ 5%,194I
IN,IG,I1,Inv - Rent P&M - Co/Firms @ 2%,194I
IN,IG,I2,Inv - Rent P&M W/O PAN - Co/Firms @ 20%,194I
IN,IG,I3,Inv - Rent P&M - Co/Firms @ 1.50%,194I
IN,IG,I4,Inv -Rent P&M- Co/Firms Sec:206AB@ 20%,194I
IN,IG,I7,Inv - Rent P&M - HUF/Indiv @ 1.50%,194I
IN,IG,I8,Inv - Rent P&M W/O PAN - HUF/Indiv @ 20%,194I
IN,IG,I9,Inv - Rent P&M - HUF/Indiv @ 2%,194I
IN,IH,I!,Inv - Professional Fees -Sec:206AB @ 5%,194J
IN,IH,I0,Inv - Professional Fees -CO/Firms @1.5%,194J
IN,IH,I1,Inv - Professional Fees -CO/Firms @10%,194J
IN,IH,I2,Inv - Prof Fees W/O PAN -CO/Firms @ 20%,194J
IN,IH,I3,Inv - Professional Fees -CO/Firms @2%,194J
IN,IH,I4,Inv - Professional Fees -CO/Firms @7.50%,194J
